City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
0,Tiarei,PF,73.4,few clouds,-17.53,-149.33,Le Rocher de Tahiti
2,San Cristobal,VE,82.4,broken clouds,7.77,-72.22,Pirineos
4,Yecuatla,MX,74.57,clear sky,19.87,-96.75,La Esperanza Yecuatla Veracruz
13,Praia Da Vitoria,PT,73.4,broken clouds,38.73,-27.07,Hotel Branco I
16,Vila Velha,BR,73.4,light rain,-20.33,-40.29,Hotel Vitória Palace
21,Vaini,TO,71.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
22,Faanui,PF,78.57,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
25,San Patricio,US,71.6,smoke,28.02,-97.52,"Motel 6 Sinton, TX"
34,Robertsganj,IN,71.01,scattered clouds,24.7,83.07,Prem Hotel Lodge & Restaurant
36,Hithadhoo,MV,83.84,overcast clouds,-0.6,73.08,Scoop Guest House
37,Garca,BR,78.8,broken clouds,-22.21,-49.66,Fenix Motel(Only Adults) - Garça
39,Puerto Ayora,EC,73.4,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
44,Sungairaya,ID,80.55,heavy intensity rain,0.7,108.9,808 artel
45,Avarua,CK,71.6,haze,-21.21,-159.78,Paradise Inn
46,Kahului,US,75.2,few clouds,20.89,-156.47,Maui Seaside Hotel
47,Padang,ID,79.3,light rain,-0.95,100.35,Mercure Padang
48,Rikitea,PF,74.86,clear sky,-23.12,-134.97,Pension Maro'i
49,Sao Filipe,CV,82.33,broken clouds,14.9,-24.5,Tortuga B&B
50,Samarai,PG,80.31,light rain,-10.62,150.67,Nuli Sapi
51,Rawson,AR,75.63,clear sky,-43.3,-65.1,Hotel Punta León
52,Poum,NC,77.38,broken clouds,-20.23,164.02,Gîte kajeon
55,Tautira,PF,73.4,few clouds,-17.73,-149.15,Pension Oaoa
56,Bengkulu,ID,77.4,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
66,Requena,ES,78.01,clear sky,39.49,-1.1,Hotel Avenida
68,Boyolangu,ID,73.08,light rain,-8.12,111.89,Yos ega cv
71,Ko Samui,TH,83.41,light rain,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
80,Caravelas,BR,79.57,moderate rain,-17.71,-39.25,Pousada dos Navegantes
83,Banjar,ID,76.59,broken clouds,-8.19,114.97,The Hamsa Resort
84,La Asuncion,VE,87.8,few clouds,11.03,-63.86,Colinas de Matasiete
88,Kinablangan,PH,79.09,overcast clouds,7.69,126.55,Mainit Balete Hot Spring
91,Casablanca,MA,77.0,clear sky,33.59,-7.62,Hotel Moroccan House Casablanca
92,Acajutla,SV,80.6,clear sky,13.59,-89.83,Stop.
93,Naliya,IN,83.19,clear sky,23.27,68.83,Hotel Panchvati
95,Ishigaki,JP,77.72,light rain,24.34,124.16,Hotel Peace Land Ishigakijima
96,Mar Del Plata,AR,71.6,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
97,Bandarbeyla,SO,77.97,broken clouds,9.49,50.81,REER XOOSHLE GROUP
100,Atuona,PF,78.13,few clouds,-9.8,-139.03,Villa Enata
102,Mahajanga,MG,80.6,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
106,Tambongon,PH,80.91,heavy intensity rain,10.97,123.92,Mama Mary Healing Chapel
108,Victoria,HK,73.99,light rain,22.29,114.16,Mini Hotel Central
116,Impfondo,CG,81.95,light rain,1.64,18.07,Préfecture de la Likouala
122,Benghazi,LY,70.83,clear sky,32.12,20.07,Tibesti Hotel
124,Butaritari,KI,80.92,broken clouds,3.07,172.79,Isles Sunset Lodge
125,Pekan,MY,80.6,few clouds,3.48,103.4,Pekan Budget Hotel
126,Tezu,IN,75.76,overcast clouds,27.92,96.17,Circuit House
128,Hilo,US,73.4,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
129,Dwarka,IN,82.74,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
130,Lorengau,PG,80.85,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
133,Raha,IN,75.13,overcast clouds,26.23,92.52,Hotel Smriti
135,Georgetown,MY,82.4,moderate rain,5.41,100.34,Cititel Penang
136,Sebring,US,80.6,broken clouds,27.5,-81.44,La Quinta Inn & Suites by Wyndham Sebring
137,Natal,BR,84.2,broken clouds,-5.79,-35.21,Villa Park Hotel | Natal
138,Madang,PG,77.32,light rain,-5.22,145.8,Comfort Inn Hotel
143,Akonolinga,CM,77.2,light rain,3.77,12.25,Le Diamant De Mireille
146,Srandakan,ID,78.21,light rain,-7.94,110.25,Puri Brata
149,Upington,ZA,77.0,few clouds,-28.45,21.26,River Place Manor
155,Teluknaga,ID,81.0,mist,-6.1,106.64,Bale Ocasa hotel
159,Esperance,AU,73.4,overcast clouds,-33.87,121.9,Hospitality Esperance
160,Palu,ID,75.33,broken clouds,-0.89,119.87,Hotel Santika Palu
166,Peniche,PT,71.01,broken clouds,39.36,-9.38,Hotel Star inn Peniche
176,Coahuayana,MX,77.0,scattered clouds,18.73,-103.68,Hotel Los Arcos
177,Nishihara,JP,73.4,broken clouds,26.18,127.76,Minshuku Agaihama
180,Bandar-E Lengeh,IR,77.0,clear sky,26.56,54.88,کافی نت پارس
181,Sao Joao Da Barra,BR,75.2,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
182,Ixtapa,MX,84.2,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
184,Kavieng,PG,83.14,overcast clouds,-2.57,150.8,Nusa Island Retreat
188,Moa,CU,83.12,light rain,20.66,-74.94,Renta en Divisa
189,Moroni,KM,77.68,overcast clouds,-11.7,43.26,Hotel les Arcades
193,Sola,VU,80.82,light rain,-13.88,167.55,Ulkel Guest House
194,Callaway,US,71.01,clear sky,30.15,-85.57,Holiday Inn Express & Suites Panama City-Tyndall
195,Riyadh,SA,78.8,clear sky,24.69,46.72,InterContinental Riyadh
198,Namibe,AO,74.12,few clouds,-15.2,12.15,Hotel Chik Chik Namibe
199,Tual,ID,82.78,light rain,-5.67,132.75,Grand Vilia Hotel
200,Harper,LR,81.32,light rain,4.38,-7.72,Screensaver
203,Torrijos,ES,73.99,scattered clouds,39.98,-4.28,Hotel La Salve
214,Tandil,AR,71.01,clear sky,-37.32,-59.13,HOSTAL DE LA SIERRA TANDIL
215,Santa Rosa,PH,82.4,light rain,14.31,121.11,Erlyn’s Sta Rosa City Home
217,Sabang,ID,82.17,light rain,5.89,95.32,Hotel Citra
218,Sapatgram,IN,73.99,scattered clouds,26.33,90.11,Mustaki Firoz
222,Pedernales,DO,86.0,broken clouds,18.04,-71.74,Hotel Costa Marina
223,Tierra Blanca,HN,71.6,broken clouds,14.58,-88.58,Guancascos´Hotel & Restaurant
225,Vilhena,BR,84.2,broken clouds,-12.74,-60.15,Hotel Mirage
227,Rudarpur,IN,75.45,broken clouds,26.44,83.61,Indian Guest House
229,Marawi,PH,75.99,light rain,8.0,124.29,Derogongan Residence
230,Praia,CV,84.2,broken clouds,14.92,-23.51,LT Aparthotel
231,Itoman,JP,73.4,shower rain,26.12,127.67,Southern Beach Hotel & Resort Okinawa
234,Becerril,CO,83.68,light rain,9.7,-73.28,Hotel Carlington
237,Lubao,PH,78.8,broken clouds,14.92,120.55,Hacienda Gracia
239,Labuhan,ID,75.94,moderate rain,-6.88,112.21,bador sepret
243,Kimbe,PG,75.9,broken clouds,-5.55,150.14,Kimbe Bay Hotel
244,Labelle,US,86.0,overcast clouds,26.76,-81.44,La Belle Motel
247,Sahuaripa,MX,76.01,overcast clouds,29.05,-109.23,Estatua de Sahuaripa
254,Salalah,OM,84.2,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
255,Guerrero Negro,MX,71.28,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
257,Cabo San Lucas,MX,79.0,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
259,Tagusao,PH,79.5,overcast clouds,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
264,Dingle,PH,75.87,overcast clouds,11.0,122.67,Camp Pasica
265,Buala,SB,79.79,broken clouds,-8.14,159.59,Maringe Lagoon Lodge
267,Kavaratti,IN,83.05,broken clouds,10.57,72.64,Hotels in Lakshadweep Islands
270,Gualeguay,AR,70.86,clear sky,-33.14,-59.31,Cabañas Nuestro Refugio
273,Yulara,AU,73.4,broken clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
274,Hambantota,LK,80.6,haze,6.12,81.12,Bungalow 63
276,Kununurra,AU,80.6,broken clouds,-15.77,128.73,Hotel Kununurra
277,Porto Novo,BJ,86.0,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
278,Isangel,VU,74.95,broken clouds,-19.55,169.27,Volcano Sea View Tree House
280,Umm Lajj,SA,80.04,clear sky,25.02,37.27,Moon light Furnished Units
282,Biak,ID,77.85,overcast clouds,-0.91,122.88,Kost Ariz
283,Conde,BR,86.0,scattered clouds,-7.26,-34.91,Pousada Beija Flor
284,Kisangani,CD,86.0,few clouds,0.52,25.2,Grand Ramela Hotel
285,Bambanglipuro,ID,77.99,light rain,-7.95,110.28,Puri Brata
287,Thai Binh,VN,73.4,broken clouds,20.45,106.33,Hội Liên Hiệp Phụ Nữ Tỉnh Thái Bình
294,Namatanai,PG,80.26,overcast clouds,-3.67,152.43,Namatanai Hotel
298,Belmonte,BR,84.2,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
305,Mitsamiouli,KM,78.22,overcast clouds,-11.38,43.28,Foyer ADM
306,Arucas,ES,86.0,clear sky,28.12,-15.52,Hotel Melva Suite
307,Itarema,BR,88.9,overcast clouds,-2.92,-39.92,Windvillage
311,Atambua,ID,76.23,clear sky,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
312,La Union,PE,76.57,overcast clouds,-5.4,-80.75,Los Portales
314,Chandbali,IN,78.22,overcast clouds,20.78,86.77,KABITA HOMES
316,Saldanha,ZA,75.2,clear sky,-33.01,17.94,Blue Bay Lodge
319,Bhinmal,IN,76.5,clear sky,25.0,72.25,Jambheswar Bhavan(Gopi Khilery)
320,Kampong Chhnang,KH,77.27,light rain,12.17,104.55,រមណីយដ្ឋាន ទឹកធ្លាក់ស្រែអំពិល
323,Maceio,BR,87.8,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
325,San Quintin,MX,71.55,broken clouds,30.48,-115.95,Old Mill Hotel
330,Hobyo,SO,82.38,light rain,5.35,48.53,Osmani Hotel
340,Bubaque,GW,85.48,broken clouds,11.28,-15.83,"Casa Dora, Bubaque"
343,Libreville,GA,82.4,scattered clouds,0.39,9.45,Hotel Re-Ndama
344,Nabire,ID,77.45,light rain,-3.37,135.48,Hotel Nusantara Nabire
346,Canico,PT,78.01,few clouds,32.63,-16.85,Quinta Splendida Wellness & Botanical Garden
348,Port-Gentil,GA,84.2,few clouds,-0.72,8.78,Fengshui Residence
349,Sayaxche,GT,73.24,light rain,16.52,-90.17,GAMER MAN Jimenes
352,Koumac,NC,75.69,broken clouds,-20.57,164.28,Le Monitel
353,Nacala,MZ,78.91,overcast clouds,-14.54,40.67,Nacala Plaza Business Design Hotel
358,Kant,IN,72.25,clear sky,27.8,79.8,Haseeb Khan shatreng
361,Guantanamo,CU,89.6,moderate rain,20.14,-75.21,Hotel Marti
368,Isla Vista,US,72.0,fog,34.41,-119.86,Super 8 by Wyndham Santa Barbara/Goleta
371,Ambon,ID,82.99,clear sky,-3.7,128.18,Swiss-Belhotel Ambon
374,Bilma,NE,82.65,clear sky,18.69,12.92,Expeditions Ténére voyages
382,Mungeli,IN,70.72,clear sky,22.07,81.68,Hotel Puneet
383,Palauig,PH,80.19,overcast clouds,15.44,119.9,Myhousebythesea
384,Gouyave,GD,86.0,broken clouds,12.16,-61.73,Rumboat Retreat
387,Yarada,IN,78.8,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
390,Digha,IN,78.62,overcast clouds,21.68,87.55,Khoniker Atithi
392,Molina,CL,80.01,clear sky,-35.12,-71.28,Hostal Pucará
394,Braco Do Norte,BR,70.59,overcast clouds,-28.27,-49.17,Costa Nobre Hotel
396,Lumphat,KH,75.16,few clouds,13.49,106.98,Lumphat Homestay
397,Nhulunbuy,AU,77.0,clear sky,-12.23,136.77,East Arnhem Real Estate
399,Mattru,SL,85.26,light rain,7.62,-11.83,Boima Gbondo's Compound
401,Acapulco,MX,82.4,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
404,Cabra,ES,78.8,clear sky,37.47,-4.44,MS Fuente Las Piedras
408,Beira,MZ,78.8,few clouds,-19.84,34.84,Beira Terrace Hotel
412,Ikwiriri,TZ,78.42,broken clouds,-7.96,38.97,Selous Lodge
