City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions,Date
0,Tiarei,PF,-17.53,-149.33,73.4,83,20,2.24,few clouds,2020-10-31 16:23:03
1,East London,ZA,-33.02,27.91,66.2,63,20,9.17,few clouds,2020-10-31 16:23:04
2,San Cristobal,VE,7.77,-72.22,82.4,74,75,4.7,broken clouds,2020-10-31 16:23:04
3,Ushuaia,AR,-54.8,-68.3,55.4,54,40,3.36,scattered clouds,2020-10-31 16:21:01
4,Yecuatla,MX,19.87,-96.75,74.57,51,0,3.67,clear sky,2020-10-31 16:23:04
5,Punta Arenas,CL,-53.15,-70.92,51.8,71,0,9.17,clear sky,2020-10-31 16:23:05
6,Nome,US,64.5,-165.41,14.0,85,1,8.05,clear sky,2020-10-31 16:23:05
7,Virginia Beach,US,36.85,-75.98,57.2,50,75,11.41,broken clouds,2020-10-31 16:21:10
8,Ribeira Grande,PT,38.52,-28.7,69.8,94,75,17.22,broken clouds,2020-10-31 16:23:05
9,Coquimbo,CL,-29.95,-71.34,53.6,87,90,8.05,overcast clouds,2020-10-31 16:23:06
10,Kaitangata,NZ,-46.28,169.85,45.0,79,3,1.99,clear sky,2020-10-31 16:23:06
11,Srednekolymsk,RU,67.45,153.68,4.53,94,99,1.21,overcast clouds,2020-10-31 16:23:07
12,Carnarvon,AU,-24.87,113.63,69.8,88,90,9.17,overcast clouds,2020-10-31 16:23:08
13,Praia Da Vitoria,PT,38.73,-27.07,73.4,83,75,17.96,broken clouds,2020-10-31 16:23:08
14,San Ciro De Acosta,MX,21.63,-99.82,66.04,54,0,2.48,clear sky,2020-10-31 16:23:08
15,Geraldton,AU,-28.77,114.6,68.0,72,75,14.99,broken clouds,2020-10-31 16:23:08
16,Vila Velha,BR,-20.33,-40.29,73.4,88,75,2.24,light rain,2020-10-31 16:23:09
17,Severo-Kurilsk,RU,50.68,156.12,41.7,79,100,26.82,light rain,2020-10-31 16:23:09
18,Kapaa,US,22.08,-159.32,69.8,88,1,6.93,clear sky,2020-10-31 16:23:09
19,Dikson,RU,73.51,80.55,16.5,97,100,17.13,light snow,2020-10-31 16:23:09
20,Tasiilaq,GL,65.61,-37.64,33.8,95,90,1.12,overcast clouds,2020-10-31 16:23:10
21,Vaini,TO,-21.2,-175.2,71.6,88,75,10.29,broken clouds,2020-10-31 16:23:10
22,Faanui,PF,-16.48,-151.75,78.57,76,33,19.17,scattered clouds,2020-10-31 16:23:10
23,Mandalgovi,MN,45.76,106.27,23.95,79,0,9.66,clear sky,2020-10-31 16:23:10
24,Lebu,CL,-37.62,-73.65,61.72,63,12,9.78,few clouds,2020-10-31 16:23:10
25,San Patricio,US,28.02,-97.52,71.6,53,20,8.05,smoke,2020-10-31 16:23:11
26,Roald,NO,62.58,6.13,48.2,70,0,9.17,clear sky,2020-10-31 16:23:11
27,Castro,BR,-24.79,-50.01,61.0,77,100,6.04,overcast clouds,2020-10-31 16:23:11
28,Port Alfred,ZA,-33.59,26.89,65.91,72,84,16.2,broken clouds,2020-10-31 16:23:12
29,Bredasdorp,ZA,-34.53,20.04,64.4,55,0,12.75,clear sky,2020-10-31 16:23:12
30,Clyde River,CA,70.47,-68.59,15.8,92,90,8.05,light snow,2020-10-31 16:23:12
31,Busselton,AU,-33.65,115.33,63.0,66,100,13.58,moderate rain,2020-10-31 16:23:12
32,Hermanus,ZA,-34.42,19.23,64.99,61,0,8.01,clear sky,2020-10-31 16:23:12
33,Toora-Khem,RU,52.47,96.11,25.95,94,100,3.04,overcast clouds,2020-10-31 16:23:13
34,Robertsganj,IN,24.7,83.07,71.01,47,39,1.79,scattered clouds,2020-10-31 16:23:13
35,Ferme-Neuve,CA,46.7,-75.45,33.8,50,0,5.82,clear sky,2020-10-31 16:23:13
36,Hithadhoo,MV,-0.6,73.08,83.84,71,94,7.72,overcast clouds,2020-10-31 16:23:13
37,Garca,BR,-22.21,-49.66,78.8,61,75,14.99,broken clouds,2020-10-31 16:23:14
38,Mataura,NZ,-46.19,168.86,44.01,88,5,4.0,clear sky,2020-10-31 16:23:14
39,Puerto Ayora,EC,-0.74,-90.35,73.4,78,75,14.99,broken clouds,2020-10-31 16:23:14
40,Fengxian,CN,34.7,116.59,64.0,74,4,5.73,clear sky,2020-10-31 16:23:14
41,Kruisfontein,ZA,-34.0,24.73,64.0,70,38,5.99,scattered clouds,2020-10-31 16:23:15
42,Pangnirtung,CA,66.15,-65.71,19.4,52,75,4.7,broken clouds,2020-10-31 16:23:15
43,Arraial Do Cabo,BR,-22.97,-42.03,69.8,94,90,8.05,light intensity drizzle,2020-10-31 16:23:15
44,Sungairaya,ID,0.7,108.9,80.55,80,100,4.18,heavy intensity rain,2020-10-31 16:23:15
45,Avarua,CK,-21.21,-159.78,71.6,88,100,11.41,haze,2020-10-31 16:23:15
46,Kahului,US,20.89,-156.47,75.2,73,20,7.09,few clouds,2020-10-31 16:23:16
47,Padang,ID,-0.95,100.35,79.3,72,100,3.13,light rain,2020-10-31 16:23:16
48,Rikitea,PF,-23.12,-134.97,74.86,71,8,7.61,clear sky,2020-10-31 16:23:16
49,Sao Filipe,CV,14.9,-24.5,82.33,58,59,16.55,broken clouds,2020-10-31 16:23:17
50,Samarai,PG,-10.62,150.67,80.31,85,66,9.95,light rain,2020-10-31 16:23:17
51,Rawson,AR,-43.3,-65.1,75.63,20,0,6.35,clear sky,2020-10-31 16:20:48
52,Poum,NC,-20.23,164.02,77.38,81,78,23.15,broken clouds,2020-10-31 16:23:17
53,Cape Town,ZA,-33.93,18.42,68.0,52,0,20.8,clear sky,2020-10-31 16:18:46
54,Patea,NZ,-39.76,174.48,57.0,90,100,13.09,light rain,2020-10-31 16:23:18
55,Tautira,PF,-17.73,-149.15,73.4,83,20,2.24,few clouds,2020-10-31 16:23:18
56,Bengkulu,ID,-3.8,102.27,77.4,85,100,3.24,moderate rain,2020-10-31 16:23:18
57,Norman Wells,CA,65.28,-126.83,-4.0,83,20,4.7,few clouds,2020-10-31 16:23:18
58,Sipoo,FI,60.38,25.27,43.0,100,75,2.24,broken clouds,2020-10-31 16:23:19
59,Te Anau,NZ,-45.42,167.72,44.46,81,55,6.35,broken clouds,2020-10-31 16:23:19
60,Teya,RU,60.38,92.63,9.91,92,31,4.74,scattered clouds,2020-10-31 16:23:19
61,Manitouwadge,CA,49.12,-85.84,39.2,74,75,19.46,broken clouds,2020-10-31 16:23:19
62,Dongsheng,CN,39.82,109.98,35.73,72,100,7.99,overcast clouds,2020-10-31 16:23:19
63,Hamilton,US,39.18,-84.53,51.01,57,1,10.29,clear sky,2020-10-31 16:22:01
64,Upernavik,GL,72.79,-56.15,16.48,95,64,10.67,broken clouds,2020-10-31 16:23:20
65,San Ramon,US,37.78,-121.98,59.0,62,1,3.36,clear sky,2020-10-31 16:23:20
66,Requena,ES,39.49,-1.1,78.01,30,0,4.0,clear sky,2020-10-31 16:23:21
67,Albany,US,42.6,-73.97,39.99,78,0,1.99,clear sky,2020-10-31 16:23:21
68,Boyolangu,ID,-8.12,111.89,73.08,88,95,6.11,light rain,2020-10-31 16:23:21
69,Floro,NO,61.6,5.03,53.6,46,100,19.46,overcast clouds,2020-10-31 16:23:21
70,Mayo,US,38.89,-76.51,48.0,70,75,8.05,broken clouds,2020-10-31 16:23:21
71,Ko Samui,TH,9.54,99.94,83.41,71,98,2.15,light rain,2020-10-31 16:23:22
72,Bluff,NZ,-46.6,168.33,44.01,88,43,4.0,scattered clouds,2020-10-31 16:18:31
73,Batemans Bay,AU,-35.72,150.18,59.0,96,100,1.99,light rain,2020-10-31 16:23:22
74,Ilulissat,GL,69.22,-51.1,17.6,67,75,8.05,broken clouds,2020-10-31 16:23:22
75,Fortuna,US,40.6,-124.16,46.4,93,1,6.93,clear sky,2020-10-31 16:23:22
76,Batabano,CU,22.72,-82.29,84.2,70,40,8.05,scattered clouds,2020-10-31 16:23:23
77,Airai,TL,-8.93,125.41,61.39,91,12,1.7,few clouds,2020-10-31 16:23:23
78,Saryg-Sep,RU,51.5,95.6,22.84,95,100,1.19,overcast clouds,2020-10-31 16:21:08
79,Hokitika,NZ,-42.72,170.97,51.37,81,87,8.21,light rain,2020-10-31 16:23:23
80,Caravelas,BR,-17.71,-39.25,79.57,73,99,6.73,moderate rain,2020-10-31 16:23:24
81,Nara,JP,34.69,135.8,53.01,60,29,2.55,scattered clouds,2020-10-31 16:23:24
82,Waitati,NZ,-45.75,170.57,48.99,68,0,7.0,clear sky,2020-10-31 16:23:24
83,Banjar,ID,-8.19,114.97,76.59,74,84,1.66,broken clouds,2020-10-31 16:23:25
84,La Asuncion,VE,11.03,-63.86,87.8,70,16,16.11,few clouds,2020-10-31 16:23:25
85,Aklavik,CA,68.22,-135.01,-4.0,83,75,3.36,broken clouds,2020-10-31 16:23:25
86,Souillac,MU,-20.52,57.52,69.8,77,40,14.99,shower rain,2020-10-31 16:23:25
87,Mehamn,NO,71.04,27.85,30.42,94,86,11.32,overcast clouds,2020-10-31 16:23:26
88,Kinablangan,PH,7.69,126.55,79.09,80,95,4.47,overcast clouds,2020-10-31 16:23:26
89,Saint-Pierre,RE,-21.34,55.48,69.8,60,20,3.36,few clouds,2020-10-31 16:23:26
90,Krasnoselkup,RU,65.7,82.47,33.67,96,100,23.2,light rain,2020-10-31 16:23:26
91,Casablanca,MA,33.59,-7.62,77.0,73,0,13.87,clear sky,2020-10-31 16:21:39
92,Acajutla,SV,13.59,-89.83,80.6,61,0,1.68,clear sky,2020-10-31 16:19:14
93,Naliya,IN,23.27,68.83,83.19,35,3,4.07,clear sky,2020-10-31 16:23:27
94,Kongoussi,BF,13.33,-1.53,97.75,11,5,9.62,clear sky,2020-10-31 16:23:27
95,Ishigaki,JP,24.34,124.16,77.72,70,28,17.0,light rain,2020-10-31 16:23:28
96,Mar Del Plata,AR,-38.0,-57.56,71.6,37,0,8.05,clear sky,2020-10-31 16:23:28
97,Bandarbeyla,SO,9.49,50.81,77.97,79,59,12.91,broken clouds,2020-10-31 16:23:28
